oid_migrash,ms_gush,ms_migrash,k_yeud_rashi,t_yeud_rashi,Shape_Length,Shape_Area,Shape,ms_ezor,ms_ezor_shetach
11451,9001,2001,1008,תחבורה,85.284379,70.630061,Polygon,,
11452,7022,16,1001,מגורים,85.934367,434.517508,Polygon,,
11453,8999,8,1001,מגורים,61.514196,236.122902,Polygon,,
11454,8999,21,1001,מגורים,63.348905,203.822784,Polygon,,
11455,8999,47,1001,מגורים,86.734365,439.206413,Polygon,,
11456,8997,15,1001,מגורים,67.551086,284.522605,Polygon,,
11457,8994,76,1001,מגורים,76.061964,359.09742,Polygon,,
11458,8994,2006,1008,תחבורה,45.693635,102.382574,Polygon,,
11459,8994,2017,1001,מגורים,118.444788,788.276858,Polygon,,
11460,8997,35,1001,מגורים,72.359696,326.553564,Polygon,,
11461,8997,2019,1001,מגורים,55.833792,158.359568,Polygon,,
11462,7022,78,1006,שטחים פתוחים,74.516429,87.697209,Polygon,,
11463,7022,102,1001,מגורים,91.261395,367.299772,Polygon,,
11464,7022,67,1001,מגורים,42.091337,104.857247,Polygon,,
11465,8998,2021,1001,מגורים,92.999738,522.261904,Polygon,,
11466,6624,857,1001,מגורים,74.31181,341.680836,Polygon,,
11467,7228,24,1009,שטח לתכנון בעתיד,59.994772,224.882259,Polygon,,
11468,7228,21,1009,שטח לתכנון בעתיד,58.802265,212.099378,Polygon,,
11469,9010,2007,1008,תחבורה,189.592699,343.030797,Polygon,,
11470,7443,17,1002,מסחר,98.339722,597.5275,Polygon,,
11471,7080,2092,1008,תחבורה,16.306603,9.320151,Polygon,,
11472,7051,91,1002,מסחר,69.053629,300.399255,Polygon,,
11473,6034,2195,1008,תחבורה,134.790522,410.014299,Polygon,,
11474,6034,2129,1008,תחבורה,24.991435,39.378534,Polygon,,
11475,7051,2014,1003,תעסוקה,310.686515,5254.470963,Polygon,,
11476,7051,2023,1005,מבנים ומוסדות ציבור,148.266564,1336.576266,Polygon,,
11477,6914,61,1001,מגורים,83.481246,442.722158,Polygon,,
11478,7033,40,1001,מגורים,60.287618,175.219471,Polygon,,
11479,7033,39,1001,מגורים,44.54651,111.190661,Polygon,,
11480,7033,2141,1001,מגורים,47.688602,139.637435,Polygon,,
11481,7033,2142,1001,מגורים,40.978646,82.64235,Polygon,,
11482,7033,35,1001,מגורים,30.552962,52.789296,Polygon,,
11483,7033,2154,1001,מגורים,135.85172,310.723879,Polygon,,
11484,6137,148,1001,מגורים,200.946942,2228.737026,Polygon,,
11485,6134,2299,1005,מבנים ומוסדות ציבור,100.731751,572.462066,Polygon,,
11486,6134,411,1001,מגורים,76.631993,265.184708,Polygon,,
11487,6134,408,1001,מגורים,76.708384,261.815915,Polygon,,
11488,6134,368,1001,מגורים,74.56939,242.201816,Polygon,,
11489,6134,2370,1008,תחבורה,20.277905,9.271207,Polygon,,
11490,6956,78,1001,מגורים,78.814555,331.361138,Polygon,,
11491,6956,80,1001,מגורים,79.083334,355.6539,Polygon,,
11492,6956,63,1002,מסחר,78.963605,326.132715,Polygon,,
11493,6956,75,1001,מגורים,79.578757,337.052019,Polygon,,
11494,6928,8,1001,מגורים,51.652842,160.700042,Polygon,,
11495,7442,20,1002,מסחר,90.136772,502.268751,Polygon,,
11496,7442,2,1002,מסחר,24.938979,35.038502,Polygon,,
11497,7442,2026,1002,מסחר,117.877368,763.795174,Polygon,,
11498,6213,1076,1001,מגורים,73.170682,293.388126,Polygon,,
11499,6213,1074,1001,מגורים,78.029298,341.416685,Polygon,,
11500,6626,198,1001,מגורים,105.053806,656.902606,Polygon,,
11501,7076,55,1001,מגורים,84.825265,422.894846,Polygon,,
11502,7088,12,1001,מגורים,96.205529,508.566069,Polygon,,
11503,6615,103,1008,תחבורה,100.095536,223.605178,Polygon,,
11504,7065,81,1001,מגורים,76.982277,294.675868,Polygon,,
11505,6615,104,1008,תחבורה,69.784686,118.246282,Polygon,,
11506,7036,2206,1008,תחבורה,92.923898,123.866698,Polygon,,
11507,6769,63,1008,תחבורה,82.523457,129.784328,Polygon,,
