זיהוי ממג מגרש *,מספר גוש *,מספר מגרש *,קוד ייעוד ראשי,תיאור ייעוד ראשי,שטח רשום,שטח גרפי,Shape_Length,Shape_Area,צורה *
39822,7051,3,1003,תעסוקה,446,438.58,84.752405,438.583633,Polygon
39823,7088,2115,1003,תעסוקה,413.98,414.05,82.992942,414.046171,Polygon
39824,7088,2259,1008,תחבורה,20.52,19.99,23.978884,19.994878,Polygon
39825,7088,2272,1008,תחבורה,140.72,140.98,48.241319,140.977607,Polygon
39826,6971,2619,1008,תחבורה,73.84,73.25,35.836855,73.24874,Polygon
39827,7067,2113,1008,תחבורה,26.42,29.03,60.087357,29.030917,Polygon
39828,7022,36,1010,אחר,3146,3152.39,244.605445,3152.392736,Polygon
39829,7018,36,1001,מגורים,299,300.88,94.242815,300.880867,Polygon
39830,7080,2,1001,מגורים,270,277.53,66.966679,277.526274,Polygon
39831,7111,26,1002,מסחר,602,605.51,101.023844,605.510804,Polygon
39832,7111,28,1002,מסחר,418,414.91,85.610876,414.908725,Polygon
39833,7019,2574,1008,תחבורה,131.93,130.23,73.305583,130.229682,Polygon
39834,7018,27,1010,אחר,7036,4063.77,274.933497,4063.770482,Polygon
39835,8992,51,1001,מגורים,326,326.3,73.487815,326.297059,Polygon
39836,8992,58,1001,מגורים,350,349.59,82.535638,349.589422,Polygon
39837,8992,70,1008,תחבורה,107,107.17,57.178778,107.174164,Polygon
39838,8992,37,1001,מגורים,179,179.3,56.750472,179.295583,Polygon
39839,8992,2059,1006,שטחים פתוחים,187.8,187.18,64.79496,187.177457,Polygon
39840,8992,79,1008,תחבורה,12,11.91,31.07061,11.91185,Polygon
39841,8992,2042,1008,תחבורה,845,844.39,216.993494,844.38936,Polygon
39842,7428,2072,1008,תחבורה,128.93,125.98,206.034735,125.979233,Polygon
39843,8992,56,1001,מגורים,173,172.77,52.923087,172.765105,Polygon
39844,8992,55,1001,מגורים,116,116.06,45.386937,116.056337,Polygon
39845,8992,27,1001,מגורים,188,188.26,55.742368,188.257502,Polygon
39846,8992,2017,1001,מגורים,209.14,198.94,57.729119,198.937061,Polygon
39847,7084,256,1002,מסחר,286,285.34,68.103826,285.339124,Polygon
39848,6973,2073,1008,תחבורה,52.43,54.47,32.097988,54.466333,Polygon
39849,6973,38,1001,מגורים,145,139.81,59.470248,139.808992,Polygon
39850,6975,2083,1009,שטח לתכנון בעתיד,535.79,517.2,105.366931,517.202224,Polygon
39851,7084,155,1002,מסחר,382,373.42,88.107518,373.424093,Polygon
39852,7084,22,1002,מסחר,182,181.58,57.638013,181.582186,Polygon
39853,7084,57,1002,מסחר,348,343.35,74.970786,343.353188,Polygon
39854,7084,196,1002,מסחר,175,177,53.011299,177.000012,Polygon
39855,7084,260,1002,מסחר,236,240.31,65.052013,240.306393,Polygon
39856,7084,246,1002,מסחר,290,302.71,75.089222,302.705032,Polygon
39857,7084,243,1002,מסחר,262,270.85,72.558042,270.848603,Polygon
